"Izbrani podatki po obèinah, Slovenija, letno"

"MERITVE";"OBÈINE";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021"
"Povpreèna meseèna neto plaèa na zaposleno osebo (EUR)";"Novo mesto";991.95;1021.45;1065.76;1084.32;1103.61;1116.34;1145.87;1138.56;1149.06;1173.36;1217.78;1286.19;1373.67;...
"Povpreèna meseèna neto plaèa na zaposleno osebo (EUR)";"Odranci";784.85;771.93;772.24;754.82;753.92;782.35;786.87;786.96;780.95;842.37;902.93;961.71;991.19;...
"Povpreèna meseèna neto plaèa na zaposleno osebo (EUR)";"Oplotnica";768.70;778.87;787.74;755.80;760.24;776.16;788.63;797.75;789.99;816.94;822.15;874.12;937.34;...
"Povpreèna meseèna neto plaèa na zaposleno osebo (EUR)";"Ormož";712.53;759.65;791.79;828.79;850.49;853.55;850.18;858.49;857.11;899.81;942.14;960.08;1055.54;...
"Povpreèna meseèna neto plaèa na zaposleno osebo (EUR)";"Osilnica";575.88;530.04;587.48;636.69;656.54;693.41;695.04;716.89;714.53;743.84;743.56;714.13;z;...
"Povpreèna meseèna neto plaèa na zaposleno osebo (EUR)";"Pesnica";875.80;868.88;893.85;873.93;882.56;869.29;881.30;904.07;927.16;948.00;997.11;1042.71;1073.59;...
"Povpreèna meseèna neto plaèa na zaposleno osebo (EUR)";"Piran/Pirano";862.98;908.52;939.52;957.92;943.01;925.57;923.10;920.28;929.73;946.86;961.93;1001.38;1041.72;...
"Povpreèna meseèna neto plaèa na zaposleno osebo (EUR)";"Pivka";748.40;733.11;757.34;817.36;897.14;901.27;908.47;913.30;909.09;927.58;968.22;996.63;1061.07;...
"Povpreèna meseèna neto plaèa na zaposleno osebo (EUR)";"Podèetrtek";761.27;737.31;745.39;781.68;787.45;801.75;810.08;805.79;813.02;826.06;872.61;888.58;887.74;...
"Povpreèna meseèna neto plaèa na zaposleno osebo (EUR)";"Podlehnik";856.13;920.71;961.90;964.22;963.28;985.38;986.89;1005.09;1061.49;1089.11;1096.53;1236.24;1408.96;...
